id,name,k1,k2,k3,avg_test_ll,avg_lp.min
cn4hdjxe,crimson-sweep-102,4,20,8,-23.365684509277344,-35.1368408203125
m8ifkcgq,vibrant-sweep-103,4,20,16,-23.0500545501709,-35.13999938964844
qtwo7lq3,skilled-sweep-104,4,20,24,-23.059904098510746,-34.84749221801758
07dkt9jx,distinctive-sweep-105,4,20,36,-22.98822021484375,-34.80107879638672
f1zfpkxt,crisp-sweep-106,4,20,48,-24.114974975585938,-34.69845199584961
qscewg96,dry-sweep-107,4,20,72,-24.2386531829834,-34.56917190551758
fuqpg2j7,effortless-sweep-108,4,20,90,-24.02082633972168,-34.6060791015625
ifvtafjk,chocolate-sweep-109,8,2,2,-28.37226104736328,-34.97245788574219
7fye4n1z,efficient-sweep-110,8,2,4,-23.31765937805176,-35.344635009765625
fpgtkqnq,splendid-sweep-111,8,2,8,-20.7663631439209,-34.90635299682617
c713rpcu,electric-sweep-112,8,2,16,-20.521656036376953,-34.904052734375
jxxkurxd,visionary-sweep-113,8,2,24,-20.176273345947266,-34.9857063293457
0qfv5pyh,visionary-sweep-114,8,2,36,-20.89238548278809,-34.78086471557617
nx004eq4,royal-sweep-115,8,2,48,-20.108304977416992,-35.00795364379883
h6787mnj,denim-sweep-116,8,2,72,-20.544767379760746,-34.74436569213867
kqil5fk7,prime-sweep-117,8,2,90,-20.47122383117676,-34.57350158691406
a8whd1yf,comfy-sweep-118,8,4,2,-28.716798782348633,-34.931114196777344
4bpjlfhr,crisp-sweep-119,8,4,4,-23.676477432250977,-35.16094970703125
df6wplon,expert-sweep-120,8,4,8,-21.70225524902344,-35.112979888916016
hc4boy0v,giddy-sweep-121,8,4,16,-19.95005989074707,-35.18594741821289
dvecuyjx,vibrant-sweep-122,8,4,24,-20.52581214904785,-34.60829162597656
cl4yupbl,revived-sweep-123,8,4,36,-20.148164749145508,-34.84428405761719
zzaky4pr,sparkling-sweep-124,8,4,48,-20.615373611450195,-34.68335723876953
31b36ly0,hearty-sweep-125,8,4,72,-19.953290939331055,-35.052032470703125
2vhgqvdb,major-sweep-126,8,4,90,-20.41107749938965,-34.82661056518555
7b3tboy4,celestial-sweep-127,8,6,2,-28.245342254638672,-35.05329513549805
cphm8ffm,swift-sweep-128,8,6,4,-24.137039184570312,-35.16313552856445
1cbbtq6x,breezy-sweep-129,8,6,8,-21.600194931030273,-34.7823371887207
pgrlgbp9,vibrant-sweep-130,8,6,16,-20.390016555786133,-34.96171569824219
zuelqekw,gallant-sweep-131,8,6,24,-20.33955764770508,-34.88264846801758
g1kyz66u,smooth-sweep-132,8,6,36,-21.17465591430664,-34.60151672363281
ykhw37m8,resilient-sweep-133,8,6,48,-20.63926124572754,-34.66716384887695
ouqv6xu7,swift-sweep-134,8,6,72,-20.172531127929688,-34.91929244995117
rki56p59,efficient-sweep-135,8,6,90,-20.523212432861328,-34.73212814331055
zqe32s1o,pious-sweep-136,8,8,2,-28.555418014526367,-34.900299072265625
t86ze0tc,flowing-sweep-137,8,8,4,-24.63735008239746,-35.33372116088867
xi8tohsl,deft-sweep-138,8,8,8,-21.634546279907227,-34.76858139038086
mrnfeyrf,morning-sweep-139,8,8,16,-19.78838539123535,-35.1069221496582
tghmgv3k,brisk-sweep-140,8,8,24,-20.261690139770508,-34.74237060546875
bvghwly0,feasible-sweep-141,8,8,36,-20.457853317260746,-34.91862487792969
mjoaidy3,peach-sweep-142,8,8,48,-20.82336807250977,-34.49797439575195
0w67xyf7,denim-sweep-143,8,8,72,-21.127933502197266,-34.44133377075195
sgmfajfo,pious-sweep-144,8,8,90,-20.170257568359375,-34.853614807128906
dvakn2j1,grateful-sweep-145,8,16,2,-27.823904037475582,-35.03815460205078
ibdsarcr,worthy-sweep-146,8,16,4,-23.898326873779297,-34.75886154174805
bgkw2f4z,treasured-sweep-147,8,16,8,-21.740550994873047,-34.74326705932617
p8rghij5,neat-sweep-148,8,16,16,-20.537351608276367,-35.035621643066406
ja67mg0c,wandering-sweep-149,8,16,24,-20.3663330078125,-34.99100112915039
is5q6lc9,exalted-sweep-150,8,16,36,-20.49557113647461,-34.579124450683594
ac2cvnu7,wobbly-sweep-151,8,16,48,-20.356689453125,-34.69239807128906
nzs8saee,sunny-sweep-152,8,16,72,-21.61455535888672,-34.44102478027344
ra78qq9p,visionary-sweep-153,8,16,90,-21.454010009765625,-34.56035614013672
9zyzo1dk,misty-sweep-154,8,20,2,-27.692296981811523,-34.94295120239258
55ip9jtb,elated-sweep-155,8,20,4,-23.540607452392575,-35.060489654541016
9g0t81v2,polar-sweep-156,8,20,8,-21.038358688354492,-35.07392120361328
fj3w1l89,cool-sweep-157,8,20,16,-20.089046478271484,-35.1202392578125
o4ua1ir0,deep-sweep-158,8,20,24,-20.0074405670166,-34.99215316772461
zh6wbvel,stoic-sweep-159,8,20,36,-20.50135612487793,-34.92391586303711
k6i3hk10,hardy-sweep-160,8,20,48,-20.56572723388672,-34.859718322753906
d0nt1myc,prime-sweep-161,8,20,72,-20.92097282409668,-34.4895133972168
7ytvq0ao,sweet-sweep-162,8,20,90,-20.984642028808594,-34.70901107788086
d3gmg4aw,glorious-sweep-163,16,2,2,-28.51651382446289,-34.7192268371582
pmx2fnfz,vivid-sweep-164,16,2,4,-24.064651489257812,-34.95197296142578
gsusm9uy,northern-sweep-165,16,2,8,-21.319072723388672,-34.90437316894531
snkzviu2,northern-sweep-166,16,2,16,-19.542495727539062,-34.65023422241211
doapnz9r,wild-sweep-167,16,2,24,-19.621753692626953,-34.637508392333984
a35ox7lq,dainty-sweep-169,16,2,48,-18.94399070739746,-35.04939651489258
cu10cgb3,driven-sweep-170,16,2,72,-18.79870223999023,-34.60425567626953
cw65jfgw,northern-sweep-168,16,2,36,-18.904146194458008,-34.72679138183594
baab5fk8,iconic-sweep-171,16,2,90,-18.916749954223633,-34.74060821533203
h4ktwpsr,breezy-sweep-173,16,4,4,-23.377233505249023,-34.94917678833008
p2jel4sm,lilac-sweep-174,16,4,8,-20.83001708984375,-34.79456329345703
v5ek5y9m,helpful-sweep-172,16,4,2,-27.54996109008789,-35.19850158691406
cn4jex41,pretty-sweep-175,16,4,16,-18.432849884033203,-35.01586151123047
wh4xj09h,winter-sweep-176,16,4,24,-19.10649299621582,-34.85110855102539
c7i139pa,summer-sweep-177,16,4,36,-19.13105201721191,-34.701297760009766
6d6cmwav,dainty-sweep-178,16,4,48,-19.02341651916504,-34.63755798339844
2eg1aah1,different-sweep-179,16,4,72,-18.18420028686523,-35.03999710083008
mbzezo6j,frosty-sweep-180,16,4,90,-18.57881546020508,-34.74608612060547
